timestamp,y,z,θ,y_dot,z_dot,θ_dot,y_req,z_req,θ_req,y_dot_req,z_dot_req,θ_dot_req,f_1,f_2
49.06,2.830371134173401,1.3660742706405753,0.032571042450593106,0.34968123759934816,0.54789795942776,0.014391681768821616,2.8305958991958127,1.4431243835118122,0.03268139681848455,0.3498952691445157,0.5218787950030747,0.01442835457112753,5.031663690047819,5.032022226888406
49.07,2.8338515361340195,1.3715656668617042,0.032714361706880316,0.34639675193854363,0.5503812063433482,0.01427216948862584,2.834078433613171,1.4483541293715696,0.032825077801969575,0.34660932290988455,0.524066935911364,0.014307741842919365,5.0306039379603416,5.030964258688195
49.08,2.837299024829559,1.377081787372281,0.03285648286722012,0.3430986051806791,0.5528428176495741,0.014152062579341282,2.8375280400421414,1.4536056532657302,0.03296754965540773,0.34330969313267523,0.5262343875543698,0.014186529135053708,5.029539261037458,5.029901355685381
49.09,2.840713464299134,1.3826224153340791,0.032997400001933734,0.339786927435336,0.5552826969308982,0.014031364363366803,2.8409445822981705,1.4588787478731262,0.03310880639624663,0.3399965100766194,0.5283810643648138,0.014064719900869502,5.0284696980199275,5.028833556541946
49.1,2.844094719885614,1.388187332948929,0.03313710721469734,0.3364618493446539,0.5577007486164576,0.01391007818936052,2.8443279255020144,1.4641732050210021,0.03324884207660252,0.3366699045405169,0.5305068815955677,0.013942317620816592,5.02739528784675,5.027760900117913
49.11,2.847442658240938,1.3937763214672054,0.033275598642805645,0.33312350207816105,0.560096877983735,0.013788207432306193,2.8476779360850824,1.4694888156932642,0.033387650783532334,0.33333000785305233,0.5326117553230105,0.013819325802512841,5.02631606965413,5.026683425470315
49.120000000000005,2.850757147331354,1.3993891611963187,0.03341286845743514,0.3297720173276054,0.5624709911621795,0.013665755493577734,2.8509944817946926,1.4748253700387053,0.033525226639305114,0.3299769518676283,0.5346956024503318,0.013695747980801637,5.025232082774366,5.025601171852086
49.13,2.8540380564426107,1.4050256315092398,0.03354891086390802,0.3264075273017653,0.5648229951367955,0.0135427258010043,2.8542774316992956,1.4801826573792911,0.03366156380167445,0.3266108689571574,0.5367583407108126,0.013571587717807674,5.024143366734829,5.024514178711037
49.14,2.8572852561851128,1.4106855108530971,0.03368372010195769,0.3230301647212185,0.5671527977517148,0.013419121808934908,2.8575266561936523,1.485560466218494,0.03379665646415213,0.32323189200882757,0.5387998886710798,0.013446848602991493,5.023049961256848,5.023422485688754
49.15,2.860498618499005,1.4163685767577703,0.03381729044599384,0.3196400628131146,0.5694603077137202,0.013294946998299471,2.860742027003942,1.4909585842496256,0.03393049885628124,0.3198401544188647,0.5408201657343142,0.013321534253203588,5.021951906254627,5.022326132619515
